entailment	wmf	lmf	lpf	b2f	b3f	b4f	tdf
d	c	c	c	c	c	c	c
class							
NO	0.0306289881495	0.307692307692	0.0	0.0	0.0	0.0	0.0654929225876
YES	0.66413687915	0.846153846154	0.0	0.333333333333	0.125	0.0	0.873157800932
NO	0.627647431833	0.692307692308	0.0	0.444444444444	0.375	0.285714285714	0.402210230207
NO	0.801647945396	0.8125	0.0	0.75	0.727272727273	0.7	0.249936296273
YES	0.142766624102	0.625	0.0	0.25	0.181818181818	0.1	0.34714683672
YES	0.629132775958	0.916666666667	0.0	0.555555555556	0.375	0.142857142857	0.997894778478
NO	0.344489666721	0.909090909091	0.0	0.285714285714	0.0	0.0	0.521618127882
NO	0.790694256308	0.705882352941	0.0	0.230769230769	0.0833333333333	0.0	0.159954050229
YES	0.656484204683	0.928571428571	0.0	0.4	0.111111111111	0.0	0.822694310815
NO	0.164455391035	0.75	0.0	0.181818181818	0.1	0.0	0.154181130794
NO	0.402556353511	0.833333333333	0.0	0.5	0.285714285714	0.0	0.611322482967
NO	0.974867247935	0.666666666667	0.0	0.2	0.0	0.0	0.573094278991
YES	0.976037686582	0.769230769231	0.0	0.333333333333	0.125	0.0	0.208405064812
NO	0.29376115641	0.428571428571	0.0	0.142857142857	0.0	0.0	0.416596342622
YES	0.00948040109389	0.384615384615	0.0	0.0	0.0	0.0	0.0210141258339
NO	0.000894499175948	0.636363636364	0.0	0.0	0.0	0.0	0.170406007853
YES	0.742829930278	0.733333333333	0.0	0.636363636364	0.6	0.555555555556	0.517334667826
YES	0.247143638854	0.8	0.0	0.333333333333	0.2	0.0	0.829814507184
NO	0.0401093892434	0.384615384615	0.0	0.0	0.0	0.0	0.0654929225876
NO	0.225539978212	0.7	0.0	0.0	0.0	0.0	0.450724451084
YES	0.262705477096	0.555555555556	0.0	0.0714285714286	0.0	0.0	0.359758591278
NO	0.444492654399	0.6875	0.0	0.333333333333	0.181818181818	0.1	0.253852044633
NO	0.936051899907	0.777777777778	0.0	0.4	0.0	0.0	0.498631506736
YES	0.210416835211	1.0	0.0	0.333333333333	0.2	0.0	0.674929930057
YES	0.0835256788994	0.727272727273	0.0	0.142857142857	0.0	0.0	0.434291767248
YES	0.134541517253	0.615384615385	0.0	0.421052631579	0.333333333333	0.235294117647	0.287758479025
NO	0.737149968886	1.0	0.0	0.75	0.428571428571	0.333333333333	0.515587149338
YES	0.718280265954	0.8125	0.0	0.636363636364	0.5	0.333333333333	0.994022605541
NO	0.367373835669	0.619047619048	0.0	0.133333333333	0.0	0.0	0.162683398751
YES	0.00157980170856	0.625	0.0	0.0	0.0	0.0	0.159937366227
YES	0.570883838314	0.8	0.0	0.333333333333	0.2	0.0	0.783211060482
YES	0.460150530153	0.75	0.0	0.0	0.0	0.0	0.617948297322
YES	0.560477651936	0.8	0.0	0.166666666667	0.0	0.0	0.765869258859
YES	0.736709564424	0.928571428571	0.0	0.7	0.555555555556	0.5	0.513755381761
NO	0.69241622575	1.0	0.0	0.833333333333	0.6	0.25	1.0
YES	0.309545857249	1.0	0.0	0.857142857143	0.833333333333	0.8	1.0
NO	0.559783635136	0.764705882353	0.0	0.153846153846	0.0	0.0	0.285291800317
YES	0.599708879185	0.909090909091	0.0	0.571428571429	0.333333333333	0.2	0.615779727006
NO	0.261647039007	0.636363636364	0.0	0.133333333333	0.0714285714286	0.0	0.195411297235
YES	0.0532876078524	0.4	0.0	0.0	0.0	0.0	0.00815485098367
NO	0.323073969798	0.666666666667	0.0	0.0	0.0	0.0	0.567874098936
NO	0.413113054635	0.5	0.0	0.2	0.111111111111	0.0	0.0744646036429
YES	0.110071091119	0.7	0.0	0.333333333333	0.0	0.0	0.452262766333
NO	0.695071400339	0.928571428571	0.0	0.4	0.222222222222	0.125	0.531192313291
YES	0.39508414795	0.818181818182	0.0	0.25	0.0	0.0	0.38351610099
NO	0.356985941506	0.846153846154	0.0	0.333333333333	0.125	0.0	0.360735711145
YES	1.0	1.0	0.0	0.666666666667	0.6	0.5	0.674929930057
NO	0.575754787476	0.888888888889	0.0	0.4	0.0	0.0	0.339518227387
NO	0.515972192987	0.8	0.0	0.0	0.0	0.0	0.145897357063
YES	0.587181034375	0.947368421053	0.0	0.384615384615	0.25	0.181818181818	0.361392484244
NO	0.713030581867	0.9	0.0	0.0	0.0	0.0	0.54788594328
NO	0.332529994453	0.75	0.0	0.0	0.0	0.0	0.208567307655
NO	0.637706808165	0.846153846154	0.0	0.444444444444	0.375	0.285714285714	0.757398659568
NO	0.0942750188487	1.0	0.0	0.333333333333	0.2	0.0	1.0
NO	0.352497916023	0.705882352941	0.0	0.384615384615	0.166666666667	0.0	0.108610185016
NO	0.627496439416	0.857142857143	0.0	0.3	0.111111111111	0.0	0.613773727467
NO	0.326511740639	0.457142857143	0.0	0.137931034483	0.0	0.0	0.200854923008
YES	0.490631505899	0.8	0.0	0.333333333333	0.0	0.0	0.703691908618
NO	0.149573764123	1.0	0.0	0.714285714286	0.666666666667	0.6	0.897959726941
NO	0.262947027523	0.857142857143	0.0	0.555555555556	0.375	0.285714285714	0.521826762067
YES	0.973173612283	0.923076923077	0.0	0.555555555556	0.375	0.142857142857	0.845392606488
YES	0.118641483866	0.5	0.0	0.0	0.0	0.0	0.169918482209
YES	0.325242925379	0.8	0.0	0.166666666667	0.0	0.0	0.497950182559
YES	0.641901372301	1.0	0.0	0.571428571429	0.5	0.4	0.981143318949
YES	0.217047729428	0.75	0.0	0.0	0.0	0.0	0.397857673482
NO	0.0393234855828	0.625	0.0	0.0	0.0	0.0	0.407920254396
NO	0.0602482477423	0.533333333333	0.0	0.2	0.111111111111	0.0	0.108958111167
YES	0.262525557425	1.0	0.0	0.6	0.5	0.333333333333	0.997894627767
NO	0.0843314984395	0.375	0.0	0.0625	0.0	0.0	0.0451815792861
NO	0.000825310779131	0.727272727273	0.0	0.142857142857	0.0	0.0	0.388560025881
YES	0.683951965309	0.909090909091	0.0	0.142857142857	0.0	0.0	0.776873222423
YES	0.184640584633	0.75	0.0	0.125	0.0	0.0	0.511484649045
YES	0.371397336275	0.809523809524	0.0	0.3125	0.133333333333	0.0	0.471841655558
NO	0.105677453444	0.5	0.0	0.0	0.0	0.0	0.135445672768
YES	0.351949908896	0.833333333333	0.0	0.5	0.285714285714	0.166666666667	0.567382713524
YES	0.650171759922	1.0	0.0	0.538461538462	0.333333333333	0.181818181818	0.447207860806
YES	0.494654383771	0.833333333333	0.0	0.125	0.0	0.0	0.438209718603
YES	0.325251483105	0.666666666667	0.0	0.2	0.0	0.0	0.486160384645
YES	0.036935418638	0.8	0.0	0.0	0.0	0.0	0.675524658645
YES	0.615600094889	0.909090909091	0.0	0.714285714286	0.333333333333	0.0	0.392603634636
YES	0.584343853698	0.826086956522	0.0	0.578947368421	0.388888888889	0.235294117647	0.446142680469
NO	0.0271941654815	0.432432432432	0.0	0.2	0.137931034483	0.107142857143	0.0646405511153
NO	0.249510713212	0.526315789474	0.0	0.0	0.0	0.0	0.126675826403
NO	0.733524173709	0.9375	0.0	0.5	0.181818181818	0.1	0.398550288076
YES	0.312730707377	0.8	0.0	0.166666666667	0.0	0.0	0.543912632363
YES	0.288862221693	0.483870967742	0.0	0.05	0.0	0.0	0.0585518900046
YES	0.67802690583	0.636363636364	0.0	0.285714285714	0.166666666667	0.0	0.651294416339
YES	0.262200059589	0.916666666667	0.0	0.5	0.428571428571	0.333333333333	0.424097942904
NO	0.194051868844	0.684210526316	0.0	0.133333333333	0.0	0.0	0.195284427142
NO	0.244363429888	0.5	0.0	0.125	0.0	0.0	0.15161833357
YES	0.327289689075	0.636363636364	0.0	0.142857142857	0.0	0.0	0.436067535761
YES	0.355435571061	0.7	0.0	0.538461538462	0.416666666667	0.363636363636	0.451606988877
YES	0.70654116381	0.846153846154	0.0	0.333333333333	0.125	0.0	0.94197523282
YES	0.0393234855828	0.625	0.0	0.0	0.0	0.0	0.407920254396
NO	0.6159282179	0.857142857143	0.0	0.5	0.444444444444	0.375	0.386614080231
YES	0.0527762104641	0.4	0.0	0.0	0.0	0.0	0.00815485098367
YES	0.76847867615	0.692307692308	0.0	0.333333333333	0.125	0.0	0.395065910444
NO	0.643899862338	0.666666666667	0.0	0.25	0.142857142857	0.0	0.544357369164
NO	0.0129549660703	0.444444444444	0.0	0.0	0.0	0.0	0.0967924168579
YES	0.343677535077	0.733333333333	0.0	0.181818181818	0.0	0.0	0.223239712001
YES	0.74933047819	0.75	0.0	0.375	0.285714285714	0.166666666667	0.323439979623
NO	0.00453054455471	1.0	0.0	0.0	0.0	0.0	0.507382833387
YES	0.0	0.5	0.0	0.0	0.0	0.0	0.262759356932
NO	0.656783185418	0.846153846154	0.0	0.333333333333	0.125	0.0	0.767586617782
NO	0.000453408477437	0.4	0.0	0.0	0.0	0.0	0.264487055136
